audio,raw_asr,reference,cleaned_asr,cleaned_ref,tagged_asr
1020918_0.wav," अपने साम्तिय करी तो जुल था है, यह देंगा मेरे एसाब सकता लवात ना.",जो टाइम था वो गोल्डन टाइम होता है स्कूल के दिन और बचपन की रात जीवन का सबसे सुनहरा मेरे हिसाब से जो मैं आपको बताना चाहूंगा सबसे सुनेहरा और बेफिक्र समय होता है वहाँ न तो,अपन समतय कर त जल थ ह यह दग मर एसब सकत लवत न,ज टइम थ व गलडन टइम हत ह सकल क दन और बचपन क रत जवन क सबस सनहर मर हसब स ज म आपक बतन चहग सबस सनहर और बफकर समय हत ह वह न त,अपन समतय कर त जल थ ह यह दग मर एसब सकत लवत न
1020918_1.wav," अगर, मुल्तिया को से लीक तने हैं जमहडारी आप भव़ नहीं होती हूँ.",वहां तो जिम्मेदारियां भी नहीं होती हैं और कम कम होती है होती ही नहीं है मस्ती भरपूर होती हैं जितनी हमको मस्ती करनी है उतनी करो जिम्मेदारी का कोई बर्डन नहीं होता,अगर मलतय क स लक तन ह जमहडर आप भव नह हत ह,वह त जममदरय भ नह हत ह और कम हत ह हत ह नह ह मसत भरपर हत ह जतन हमक मसत करन ह उतन कर जममदर क कई बरडन नह हत,अगर मलतय क स लक तन ह जमहडर आप भव नह हत ह
1020918_10.wav, अपने सम्याती किलास्री हैं।,एक होता है ना थोडे एजेड है वो थोड़ा स्लो स्लो पढ़ाया करते थे तो हमको क्या हम एक दिन हमने क्लास ली एक दिन क्लास ली हमने दो दिन क्लास ली हमको कुछ समझ में आया नहीं हमने प्रिंसिपल से जाते ही कंप्लेन की है कि सर हमे कुछ समझ में तो आता नहीं है या फिर,अपन समयत कलसर ह,1 हत ह न थड एजड ह व थड सल पढय करत थ त हमक कय हम 1 दन हमन कलस ल 1 दन कलस ल हमन द दन कलस ल हमक कछ समझ म आय नह हमन परसपल स जत ह कपलन क ह क सर हम कछ समझ म त आत नह ह य फर,अपन समयत कलसर ह
1020918_11.wav," अपको सामने कुत स्यार मैं आद है, यह भी तिस्वाल नहीं हो था.",देख लो आपको आज तो कुछ समझ में नहीं आ रहा कि क्या पढ़ाते हैं तो हमारा हमारा हमारी किसी ने सुनी नहीं न उन्होंने सुनी उनकी पास फैकल्टी भी नहीं थी अब जो थी वो पढ़ा रहे थे तो हम अब आ .हम सभी ने एक ऐसा वो बनाया कि,अपक समन कत सयर म आद ह यह भ तसवल नह ह थ,दख ल आपक आज त कछ समझ म नह आ रह क कय पढत ह त हमर कस न सन नह न उनहन सन उनक पस फकलट भ नह थ अब ज थ व पढ रह थ त हम अब आ हम सभ न 1 ऐस व बनय क,अपक समन कत सयर म आद ह यह भ तसवल नह ह थ
1020918_12.wav," अपने क्लास नहीं लिएंगे, सर बडार है, तीचर मुक रहा हो आमकोलेनے दो, हम थोनिलियेंके. और से वोते हूँ यह खलاز भाल एकना इं। उन्धोंली �",हम क्लास नहीं लेंगे सर पढ़ा रहे हैं टीचर आ रहे हैं उनको लेने दो हम तो नहीं लेंगे अब बहुत से उनमें से होते हैं ना क्लास वाले कि नहीं हम तो लेंगे सर हम तो लेंगे तुम जिसको लेना है उसको लो हम तो नहीं लेंगे अब हम ऊपर हम चाहे,अपन कलस नह लएग सर बडर ह तचर मक रह ह आमकलनے द हम थनलयक और स वत ह यह खलاز भल एकन इ उनधल,हम कलस नह लग सर पढ रह ह टचर आ रह ह उनक लन द हम त नह लग अब बहत स उनम स हत ह न कलस वल क नह हम त लग सर हम त लग तम जसक लन ह उसक ल हम त नह लग अब हम ऊपर हम चह,अपन कलस नह लएग सर बडर ह तचर मक रह ह आमकलनے द हम थनलयक और स वत ह यह खलاز भल एकन इ उनधल
1020918_13.wav," अपका से लिया क्लास मुत्री, आमको बहूल दिना हैं किसा नहीं तो सब ज़ारा,",टैरिस पे छत पे चले जाते तो सर को गुस्सा आ जाता था वह बारबार पकड़ के नीचे लेके आते चलो माई क्लास में चलो माई क्लास में चलो आप हमारी क्लास लो आप कैसे नहीं ले रहे है क्लास हम उनको बोल दिया की हमको आपका पढ़ना नहीं समझ में आ रहा है हमको अच्छा नहीं लगता।,अपक स लय कलस मतर आमक बहल दन ह कस नह त सब जर,टरस प छत प चल जत त सर क गसस आ जत थ वह बरबर पकड क नच लक आत चल मई कलस म चल मई कलस म चल आप हमर कलस ल आप कस नह ल रह ह कलस हम उनक बल दय क हमक आपक पढन नह समझ म आ रह ह हमक अचछ नह लगत,अपक स लय कलस मतर आमक बहल दन ह कस नह त सब जर
1020918_14.wav," अपने साम्यांको, तुरी किस आद मैं लगता है.",अब जो पढ़ाते हैं अरे ऐसे कैसे समझ में नहीं आएगा हम समझायेंगे तो समझ में आयेगा ना आपको पढ़ोगे जभी तो समझ में आएगा पढ़ते ही नहीं हो आप पढ़ते ही नही हो आप आपका दिमाग तो बस मस्ती में और इन चीजों में लगा रहता हैं,अपन समयक तर कस आद म लगत ह,अब ज पढत ह अर ऐस कस समझ म नह आएग हम समझयग त समझ म आयग न आपक पढग जभ त समझ म आएग पढत ह नह ह आप पढत ह नह ह आप आपक दमग त बस मसत म और इन चज म लग रहत ह,अपन समयक तर कस आद म लगत ह
1020918_15.wav, अप इस बात में लिक भार नहीं कोन्मे था।,हा तो अब इस बात की एक एक बात ओर में बताना चाहूंगा तो हमारा हमारे एक मित्र थे उनके पास एक पहले स्कूटी चला करती थीं स्कूल के टाइम पे आपने देखा होगा पैक करके हां,अप इस बत म लक भर नह कनम थ,ह त अब इस बत क 1 बत ओर म बतन चहग त हमर 1 मतर थ उनक पस 1 पहल सकट चल करत थ सकल क टइम प आपन दख हग पक करक ह,अप इस बत म लक भर नह कनम थ
1020918_16.wav," अगर सिस्तर की बाकरतें तो वह लोँ रोंने आयीती, एसा मुकम ना कि दिश्कल का टायम है थो, मोरे के آड़ा ही. यह साचल जी कहरामो मेपू उठृ भी स",हां हां छोटी सी होती थी तो वो उनकी सिस्टर की हुआ करती तो उनकी सिस्टर वो लेकर आई थी तो ऐसा मौका मिला कि स्कूल का टाइम था तो वो लेकर आ गए साइकिल उनकी खराब हो गई थी तो हम भी साथ में चले गए,अगर ससतर क बकरत त वह ल रन आयत एस मकम न क दशकल क टयम ह थ मर क آड ह यह सचल ज कहरम मप उठ भ स,ह छट स हत थ त व उनक ससटर क हआ करत त उनक ससटर व लकर आई थ त ऐस मक मल क सकल क टइम थ त व लकर आ गए सइकल उनक खरब ह गई थ त हम भ सथ म चल गए,अगर ससतर क बकरत त वह ल रन आयत एस मकम न क दशकल क टयम ह थ मर क آड ह यह सचल ज कहरम मप उठ भ स
1020918_17.wav," अमारे ज़से, गेत के मैंग्यत होतान, मेंकिट से । आंती करतिसा मुलित सामने का औफियष वह खर्तो सो. उं, हम क्झा, tapeen lo ke bathe goye to us peh.",तो हमारे जैसे गेट के जो मेन गेट होता है ना तो मेंन गेट से एंट्री करते सम समय सामने प्रिंसिपल का ऑफिस हुआ करता तो क्या है हम तीन लोग बैठे हुए थे उस पे एक चला रहा था बी बीच में हम बैठे हुए थे,अमर जस गत क मगयत हतन मकट स आत करतस मलत समन क औफयष वह खरत स उ हम कझ tapeen lo ke bathe goye to us peh,त हमर जस गट क ज मन गट हत ह न त मन गट स एटर करत सम समय समन परसपल क ऑफस हआ करत त कय ह हम तन लग बठ हए थ उस प 1 चल रह थ ब बच म हम बठ हए थ,अमर जस गत क मगयत हतन मकट स आत करतस मलत समन क औफयष वह खरत स उ हम कझ [EN]tapeen[/EN] [EN]lo[/EN] [EN]ke[/EN] [EN]bathe[/EN] [EN]goye[/EN] [EN]to[/EN] [EN]us[/EN] [EN]peh[/EN]
